Planet_name,Orbit_period,Semi_major_axis,Eccentricity,Mass (EU),Radius (EU),Density,Eqilibrium_temp,Insolation_flux,Distance,Effective_temp,Surface_Stellar_gravity,Stellar_luminosity,Stellar_mass,Stellar_radius,Habitable
Kepler-372 c,20.053763,0.154,,5.02,2.09,3.02,,91.88,1378,6509,4.41,0.319,1.12,1.14,0
Kepler-372 d,30.092568,0.201,,3.5,1.69,3.98,,53.47,1378,6509,4.41,0.319,1.12,1.14,0
Kepler-373 b,5.535309,0.06,,2.42,1.36,5.29,,453.87,718,5787,4.56,0.194,0.93,0.84,0
Kepler-373 c,16.725948,0.126,,2.07,1.24,5.97,,103.76,718,5787,4.56,0.194,0.93,0.84,0
Kepler-374 b,1.897806,0.029,,1.08,1.03,5.43,,2014.66,978,5977,4.48,0.257,1.04,0.91,0
Kepler-374 c,3.282807,0.042,,1.37,1.1,5.66,,966.59,978,5977,4.48,0.257,1.04,0.91,0
Kepler-374 d,5.028219,0.056,,2.27,1.31,5.55,,548.1,978,5977,4.48,0.257,1.04,0.91,0
Kepler-375 b,12.125934,0.101,,2.7,1.45,4.87,,64.44,1209,5826,4.57,-0.166,0.9,0.84,0
Kepler-375 c,19.986326,0.141,,7.51,2.65,2.22,,33.15,1209,5826,4.57,-0.166,0.9,0.84,0
Kepler-376 b,4.920199,0.057,,1.24,1.07,5.56,,689.91,806,5900,4.3,0.329,1.06,1.18,0
Kepler-376 c,14.172327,0.115,,3.86,1.79,3.7,,168.29,806,5900,4.3,0.329,1.06,1.18,0
Kepler-377 b,12.509529,0.109,,2.51,1.39,5.14,,139.11,791,5949,4.3,0.19,1.07,1.22,0
Kepler-377 c,27.014976,0.182,,4.9,2.06,3.08,,49.85,791,5949,4.3,0.19,1.07,1.22,0
Kepler-378 b,16.092361,0.112,,0.347,0.75,4.52,,17.82,155,4661,4.65,-0.677,0.78,0.67,0
