Planet_name,Orbit_period,Semi_major_axis,Eccentricity,Mass (EU),Radius (EU),Density,Eqilibrium_temp,Insolation_flux,Distance,Effective_temp,Surface_Stellar_gravity,Stellar_luminosity,Stellar_mass,Stellar_radius,Habitable
Kepler-1477 b,11.55530021,,,1.76,1.18,5.89,,78.16,525.0,5100.0,4.58,-0.23,0.81,0.78,0
Kepler-1478 b,26.0840594,,,3.64,1.73,3.86,,85.28,1405.0,5904.0,4.41,0.288,1.04,1.06,0
Kepler-1479 b,14.53261362,,,4.01,1.83,3.6,,98.57,619.0,5796.0,4.45,0.123,0.99,0.98,0
Kepler-148 b,1.729366,0.028,,3.89,1.8,3.67,,609.02,796.0,5272.0,4.55,-0.408,0.86,0.85,0
Kepler-148 c,4.180043,0.05,,12.6,3.6,1.48,,187.2,796.0,5272.0,4.55,-0.408,0.86,0.85,0
Kepler-148 d,51.84688575,,,56.3,8.68,0.473,,6.53,796.0,5272.0,4.55,-0.408,0.86,0.85,0
Kepler-1480 b,22.12679948,,,3.43,1.67,4.05,,16.32,540.0,5156.0,4.56,-0.462,0.85,0.81,0
Kepler-1481 b,5.94220998,,,2.04,1.23,6.02,,71.94,493.0,4908.0,4.6,-0.632,0.8,0.75,0
Kepler-1482 b,12.25383217,,,1.01,1.01,5.39,,86.5,442.0,5381.0,4.54,-0.081,0.88,0.84,0
Kepler-1483 b,9.5085156,,,2.92,1.52,4.57,,265.02,1327.0,6337.0,4.24,0.344,1.25,1.4,0
Kepler-1484 b,30.4549136,,,5.1,2.11,2.98,,,1095.0,5730.0,4.49,-0.085,0.94,0.92,0
Kepler-1485 b,19.9157725,,,2.76,1.47,4.77,,85.18,550.0,6087.0,4.39,0.196,1.11,1.12,0
Kepler-1486 b,54.6495759,,,5.99,2.32,2.64,,22.37,1465.0,5965.0,4.38,0.306,1.08,1.12,0
Kepler-1487 b,7.31946363,,,5.18,2.13,2.95,,323.29,1094.0,6541.0,4.16,0.521,1.38,1.63,0
Kepler-1488 b,39.8189932,,,4.12,1.86,3.52,,73.33,618.0,5820.0,4.22,0.579,1.05,1.31,0
Kepler-1489 b,82.294751,,,3.78,1.77,3.75,,11.89,870.0,5655.0,4.51,0.205,0.93,0.9,0
Kepler-149 b,29.198943,0.184,,16.5,4.21,1.22,,23.64,521.0,5381.0,4.46,-0.181,0.92,0.95,0
Kepler-149 c,55.328328,0.281,,3.22,1.61,4.24,,10.08,521.0,5381.0,4.46,-0.181,0.92,0.95,0
Kepler-149 d,160.018032,0.571,,14.9,3.96,1.32,,2.45,521.0,5381.0,4.46,-0.181,0.92,0.95,0
Kepler-1490 b,92.4362973,,,9.48,3.04,1.85,,3.79,968.0,5515.0,4.52,-0.36,0.9,0.87,0
Kepler-1491 b,16.5861762,,,2.89,1.51,4.61,,138.11,1312.0,5728.0,4.45,0.344,1.0,0.99,0
Kepler-1492 b,16.75255007,,,2.83,1.49,4.7,,11.52,371.0,4712.0,4.62,-0.81,0.77,0.72,0
Kepler-1493 b,15.0217983,,,2.57,1.41,5.04,,,572.0,5863.0,4.24,0.249,1.06,1.29,0
Kepler-1494 b,91.080482,,,9.64,3.07,1.83,,9.11,1059.0,5659.0,4.48,0.049,0.96,0.94,0
Kepler-1495 b,85.273256,,,8.96,2.94,1.94,,,1307.0,5831.0,4.42,0.052,1.03,1.04,0
Kepler-1496 b,64.6588017,,,5.56,2.22,2.79,,18.38,1293.0,6182.0,4.29,0.265,1.18,1.27,0
Kepler-1497 b,8.74199772,,,3.39,1.66,4.07,,,1122.0,5675.0,4.47,-0.073,0.96,0.95,0
Kepler-1498 b,48.051405,,,2.33,1.33,5.44,,,740.0,5256.0,4.56,-0.166,0.86,0.81,0
Kepler-1499 b,44.2008,,,1.81,1.19,5.9,,7.37,310.0,5097.0,4.58,-0.492,0.82,0.78,0
Kepler-15 b,4.942782,0.05714,0.06,209.76,10.76,0.93,1251.0,430.68,598.0,5515.0,4.46,-0.087,1.02,0.99,0
Kepler-150 b,3.428054,0.044,,2.1,1.25,5.91,,367.26,927.0,5560.0,4.47,-0.18,0.94,0.94,0
Kepler-150 c,7.381998,0.073,,13.2,3.69,1.44,,132.09,927.0,5560.0,4.47,-0.18,0.94,0.94,0
Kepler-150 d,12.56093,0.104,,8.2,2.79,2.07,,65.14,927.0,5560.0,4.47,-0.18,0.94,0.94,0
Kepler-150 e,30.826557,0.189,,9.91,3.12,1.79,,19.67,927.0,5560.0,4.47,-0.18,0.94,0.94,0
Kepler-150 f,637.2093,1.24,,12.9,3.64,1.47,,,927.0,5560.0,4.47,-0.18,0.94,0.94,0
Kepler-1500 b,15.0330105,,,1.87,1.2,5.95,,131.82,904.0,5845.0,4.44,0.242,1.0,1.0,0
Kepler-1501 b,14.5564533,,,3.05,1.56,4.41,,100.0,888.0,6229.0,4.28,0.176,1.2,1.3,0
Kepler-1502 b,41.7083629,,,10.2,3.18,1.74,,77.32,1540.0,6666.0,4.13,0.625,1.44,1.72,0
Kepler-1503 b,96.16987,,,5.77,2.27,2.71,,5.64,850.0,5069.0,4.59,-0.188,0.77,0.74,0
Kepler-1504 b,82.304003,,,5.18,2.13,2.95,,25.17,1029.0,5393.0,4.55,0.48,0.85,0.81,0
Kepler-1505 b,30.8609366,,,0.749,0.93,5.12,,36.12,359.0,5686.0,4.54,0.11,0.93,0.86,0
Kepler-1506 b,14.0329154,,,2.3,1.32,5.5,,235.81,1318.0,5676.0,4.49,0.446,0.95,0.93,0
Kepler-1507 b,16.0506213,,,0.52,0.84,4.82,,30.48,342.0,5410.0,4.53,-0.33,0.89,0.85,0
Kepler-1508 b,20.7056504,,,2.33,1.33,5.44,,116.14,892.0,6158.0,4.32,0.389,1.14,1.22,0
Kepler-1509 b,25.4338197,,,4.08,1.85,3.54,,83.08,1277.0,5780.0,4.45,0.396,1.0,0.99,0
Kepler-151 b,15.228958,0.116,,9.59,3.06,1.84,,40.73,661.0,5460.0,4.55,-0.362,0.87,0.83,0
Kepler-151 c,24.674612,0.16,,5.02,2.09,3.02,,21.41,661.0,5460.0,4.55,-0.362,0.87,0.83,0
Kepler-1510 b,84.703921,,,11.2,3.36,1.62,,14.04,1615.0,6200.0,4.29,0.317,1.19,1.28,0
Kepler-1511 b,23.2382792,,,3.46,1.68,4.01,,228.22,897.0,6064.0,4.28,0.839,1.17,1.29,0
Kepler-1512 b,20.35972599,0.1097,,1.76,1.18,10.2,322.0,1.6,162.0,4372.0,4.64,-0.324,0.73,0.67,0
Kepler-1513 b,160.88465087,,,53.9,8.46,0.489,,2.23,384.0,5617.0,4.46,-0.199,0.99,0.97,0
Kepler-1514 b,217.8317626,,,,11.82,,,3.76,379.0,6251.0,4.35,0.34,1.21,1.22,0
Kepler-1515 b,214.3114164,,,66.2,9.55,0.418,,6.02,504.0,6511.0,4.26,0.542,1.3,1.41,0
Kepler-1516 b,7.25931979,,,3.71,1.75,3.8,,615.25,872.0,5904.0,4.4,0.41,1.04,1.07,0
Kepler-1517 b,5.54608367,,,68.7,9.76,0.406,,1526.98,869.0,7010.0,4.06,0.873,1.58,1.95,0
Kepler-1518 b,5.11177904,,,9.53,3.05,1.85,,1079.46,1140.0,6846.0,4.08,0.504,1.54,1.88,0
Kepler-1519 b,240.7989397,,,39.6,7.06,0.618,,3.94,858.0,5644.0,4.5,0.322,0.94,0.91,0
Kepler-152 b,18.207973,0.124,,8.2,2.79,2.07,,21.08,459.0,5088.0,4.61,-0.485,0.83,0.72,0
Kepler-152 c,88.255055,0.356,,6.3,2.39,2.54,,2.57,459.0,5088.0,4.61,-0.485,0.83,0.72,0
Kepler-1520 b,0.65355357,,,28.1,5.77,0.804,,1134.39,636.0,4677.0,4.61,-0.743,0.76,0.71,0
Kepler-1521 b,47.14840805,,,6.8,2.5,2.39,,5.12,227.0,5042.0,4.59,-0.572,0.81,0.76,0
Kepler-1522 b,1.84788917,,,3.64,1.73,3.86,,1513.46,690.0,5706.0,4.49,0.047,0.96,0.93,0
Kepler-1523 b,0.93875077,,,3.12,1.58,4.35,,2218.14,918.0,5708.0,4.46,-0.149,0.97,0.96,0
Kepler-1524 b,70.9674603,,,12.3,3.54,1.52,,8.44,506.0,6179.0,4.31,-0.033,1.17,1.25,0
Kepler-1525 b,2.41660118,,,0.693,0.91,5.05,,715.11,396.0,5748.0,4.44,-0.018,1.07,1.04,0
Kepler-1526 b,3.908632,,,6.48,2.43,2.48,,99.1,576.0,4601.0,4.62,-0.772,0.73,0.69,0
