pl_name,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,st_teff,st_rad,st_mass,st_lum,st_logg,ESI,isHabitable
Kepler-1088 b,1,1,23.12748644,0.1602,1.42,2.6,5975,1.08,1.08,0.09,4.4,0.323287735,0
Kepler-142 d,1,3,41.809118,0.242,2.16,5.31,5790,1.27,0.99,0.107,4.26,0.323277032,0
K2-266 d,2,4,14.697,0.1035,2.93,8.9,4285,0.7,0.69,-0.823,4.58,0.322793211,0
Kepler-1022 b,1,1,10.99469878,0.0805,2.36,6.17,4445,0.68,0.71,-0.858,4.64,0.322780005,0
Kepler-155 b,1,2,5.931194,0.056,2.09,5.02,4508,0.62,0.64,-1.21,4.68,0.32271003,0
Kepler-339 d,1,3,10.558345,0.091,1.17,14.7,5631,0.8,0.93,-0.313,4.59,0.322697264,0
HIP 9618 c,1,2,52.563491,0.2669,3.343,18.3,5609,0.97,1.02,-0.075,4.45,0.322627081,0
Kepler-878 b,1,1,25.9422033,0.165,1.93,4.38,5044,0.77,0.81,-0.174,4.58,0.322480389,0
Kepler-1930 b,1,1,13.02680016,0.1025,1.53,2.95,5083,0.84,0.84,-0.505,4.51,0.322470569,0
Kepler-341 e,1,4,42.473269,0.242,1.99,4.62,6012,1.02,1,0.127,4.44,0.322367511,0
Kepler-404 c,1,2,14.751166,0.118,1.72,3.61,5654,0.88,0.93,-0.337,4.54,0.32230412,0
HD 211403 b,1,1,223.8,0.768,12.8,1760.76937,6273,1.21,1.2,0.364,4.3,0.322258145,0
Kepler-169 d,1,5,8.348125,0.075,1.25,2.1,4997,0.76,0.84,-0.496,4.58,0.322156675,0
Kepler-2001 c,1,2,14.09258319,0.1084,1.82,3.97,5081,0.77,0.86,-0.546,4.6,0.322136026,0
Kepler-129 c,1,3,82.2,0.39,2.52,43,5770,1.65,1.18,0.464,4.08,0.322021338,0
Kepler-1787 b,1,1,39.31370163,0.227,2.319,5.99,6060,0.93,1.01,-0.098,4.51,0.321866333,0
Kepler-1889 b,1,1,37.30369949,0.2082,2.944,8.98,5646,0.82,0.86,0.22,4.55,0.321786335,0
Kepler-1608 b,1,1,16.4735686,0.1126,1.73,3.64,4992,0.72,0.75,-0.537,4.61,0.321667216,0
Kepler-262 b,1,2,13.060855,0.108,1.36,2.42,5841,0.88,0.99,-0.14,4.54,0.321614323,0
TOI-178 e,1,6,9.961881,0.0783,2.207,3.86,4316,0.65,0.65,-0.879,4.45,0.321549248,0
Kepler-32 b,1,5,5.90124,0.05,2.2,1303,3900,0.53,0.58,-1.292,4.64,0.321273315,0
Kepler-1527 b,1,1,160.129918,0.6276,4.77,20.4,6224,1.32,1.21,0.482,4.27,0.321255631,0
Kepler-246 c,1,2,11.187161,0.095,1.5,2.86,5206,0.83,0.79,-0.413,4.56,0.321182101,0
K2-84 c,1,2,27.86,0.1768,2.03,4.78,5652,0.93,0.95,-0.423,4.48,0.32110919,0
Kepler-1491 c,1,2,61.569765,0.3045,2.44,6.53,5626,1.39,0.99,0.355,4.15,0.321103934,0
Kepler-952 b,1,1,130.3546919,0.5183,7.65,45.4,5730,0.99,1,0.097,4.45,0.320979705,0
Kepler-191 c,1,3,17.738506,0.128,1.86,4.12,5282,0.79,0.81,-0.414,4.59,0.320648307,0
K2-57 b,1,1,9.0063,0.0746,2.1,5.06,4434,0.62,0.68,-0.83,4.68,0.32046974,0
Kepler-330 c,1,2,15.955387,0.116,1.95,4.46,5117,0.72,0.79,-0.442,4.64,0.319914729,0
Kepler-415 c,1,2,8.708,0.0695,2.01,4.7,4362,0.64,0.67,-0.805,4.62,0.31989737,0
Kepler-1966 b,1,1,8.61742973,0.0763,1.105,1.39,5009,0.84,0.8,-0.567,4.49,0.319616459,0
GJ 3473 b,2,2,1.1980035,0.01589,1.264,1.86,3347,0.36,0.36,-1.824,4.81,0.319556273,0
Kepler-137 c,1,2,18.735753,0.13,1.88,4.19,5187,0.8,0.91,-0.292,4.55,0.319509185,0
K2-68 b,1,1,8.05428,0.0708,1.58,3.12,4746,0.68,0.73,-0.673,4.63,0.319502982,0
