pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,st_rad,st_mass,st_lum,ESI,isHabitable
45.902733,0.226,1.33,2.33,0.67,0.65,-0.676,0.621225969,0
8.239493,0.057,1.04,1.12,0.36,0.36,-1.828,0.621038181,0
14.871572,0.094,1.41,2.57,0.47,0.5,-1.42,0.618902523,0
110.96546,0.3679,2.72,7.85,0.69,0.73,-0.316,0.618754402,0
88.07160187,0.3575,2.422,6.44,0.82,0.79,-0.453,0.618430902,0
21.1701963,0.1195,1.92,4.35,0.58,0.62,-1.153,0.617314018,0
16.051137,0.0929,2.6,7.27,0.42,0.42,-1.64,0.612882559,0
21.789,0.12,2.67,7.6,0.47,0.49,-1.434,0.612334348,0
3.05989,0.02156,1.05,1.14,0.16,0.14,-2.659,0.60903043,0
8.0518,0.0525,1.76,3.75,0.3,0.3,-1.972,0.608924869,0
59.4970952,0.2769,2.83,8.4,0.72,0.78,-0.717,0.606329197,0
6.38784,0.04,1.914,4.32,0.24,0.23,-2.228,0.605047574,0
4.0179694,0.027,1.015,7.5,0.2,0.16,-2.455,0.604255178,0
174.509835,0.546,3.17,10.2,0.77,0.81,-0.652,0.603401521,0
148.4603382,0.5238,3.53,12.2,0.83,0.87,-0.362,0.603380251,0
225.582809,0.7681,3.02,9.38,1.11,1.07,0.119,0.600423631,0
153.979578,0.552,2.73,7.9,0.93,0.95,-0.122,0.59626103,0
9.977219,0.0677,0.914,0.704,0.42,0.42,-1.64,0.595184105,0
117.040498,0.4453,2.93,8.91,0.84,0.88,-0.306,0.594243254,0
15.368459,0.097,1.57,3.09,0.48,0.51,-1.495,0.591663938,0
23.968127,0.132,2,4.66,0.51,0.6,-1.229,0.591071128,0
198.7112502,0.6253,3.65,12.9,0.8,0.84,-0.718,0.586831513,0
9.1247,0.061,1.66,3.4,0.34,0.34,-1.798,0.585187453,0
116.331901,0.4451,2.98,9.17,0.85,0.91,-0.283,0.585119066,0
125.596809,0.488,2.95,9.01,0.98,0.93,-0.185,0.582170686,0
30.951524,0.1649,2.76,8.05,0.59,0.62,-1.143,0.581934995,0
151.86392,0.5594,3.3,10.9,1.13,1.1,-0.11,0.580544204,0
234.239,0.7576,2.901,8.76,1.09,1.12,0.154,0.579400856,0
24.245586,0.1288,3.65,15.4,0.48,0.49,-1.487,0.57888815,0
7.760178,0.05,1.01,1.01,0.33,0.27,-1.837,0.577561999,0
284,0.812,3.74,13.5,0.94,0.81,-0.187,0.576293281,0
46.859,0.237,1.61,16.17,0.78,0.81,-0.577,0.575887446,0
51.69906,0.2447,2.701,7.76,0.67,0.73,-0.728,0.575109267,0
108.593329,0.4126,1.73,3.64,0.93,0.92,-0.099,0.57422691,0
20.060548,0.122,2.05,4.86,0.55,0.58,-1.102,0.573605177,0
56.57320023,0.2633,2.211,5.52,0.78,0.76,-0.577,0.573032081,0
11.379573,0.0721,2.133,4.78,0.38,0.39,-1.712,0.572457727,0
42.1516418,0.2095,2.21,69.8,0.58,0.62,-0.763,0.570305975,0
135.1880035,0.4878,2.569,7.12,0.91,0.85,-0.04,0.570205619,0
7.4507245,0.0486,1.521,1.94,0.3,0.27,-1.948,0.569445512,0
122.8808058,0.4629,3.01,9.32,0.89,0.95,-0.202,0.568131255,0
5.3587657,0.03813,1.305,2.87,0.27,0.26,-2.046,0.567338564,0
35.61253,0.1915,2.61,22.7,0.7,0.73,-0.686,0.564554619,0
81.3151059,0.3483,2.47,6.66,0.91,0.94,-0.351,0.563448986,0
7.851928,0.057,2.19,6.37,0.34,0.34,-1.886,0.563263103,0
53.5293487,0.2548,2.43,6.48,0.74,0.81,-0.583,0.562127357,0
2.753436,0.01992,1.032,0.9,0.18,0.14,-2.638,0.560412377,0
48.88819885,0.2395,1.519,2.92,0.79,0.77,-0.562,0.560094413,0
57.29290009,0.2597,2.387,6.29,0.73,0.71,-0.662,0.560026311,0
33.13610077,0.1748,2.322,6,0.64,0.65,-0.925,0.559848525,0
265.469335,0.791,4.15,16.1,1.04,0.98,0.004,0.559719766,0
44.000529,0.214,1.49,2.83,0.62,0.6,-0.57,0.559305583,0
92.876125,0.392,2.47,7,0.88,0.91,-0.239,0.5589135,0
175.06,0.633,3.87,17,0.76,0.84,-0.513,0.556508387,0
15.57129955,0.1022,1.033,1.09,0.56,0.59,-0.862,0.554936263,0
109.6471842,0.4382,2.81,8.3,0.92,0.94,-0.188,0.553487053,0
147.974,0.5302,3.304,10.9,0.83,1.03,-0.162,0.550563399,0
27.52197994,0.1445,2.6,7.27,0.53,0.55,-1.079,0.54988811,0
9.7843,0.0671,1.15,1.6,0.38,0.42,-1.011,0.548166042,0
94.2887577,0.4092,2.29,5.86,0.95,0.97,-0.158,0.545814019,0
3.77792,0.02734,1.169,1.76,0.21,0.19,-2.488,0.545457891,0
37.815724,0.201,1.3,2.24,0.69,0.68,-0.617,0.545275785,0
68.9583216,0.3192,1.199,6,0.9,0.91,-0.202,0.544631512,0
37.6327084,0.1861,2.46,6.62,0.61,0.63,-1.107,0.543070756,0
22.7802,0.13,2.7,7.75,0.53,0.58,-1.292,0.542954704,0
47.7055,0.2253,2.871,8.6,0.67,0.75,-0.707,0.542241369,0
99.640161,0.404,2.77,8.1,0.89,0.95,-0.172,0.54223075,0
110.2869374,0.4393,1.18,1.76,1.1,1.03,0.211,0.541388651,0
55.6738309,0.2658,2.09,5.02,0.77,0.81,-0.478,0.536560328,0
10.59357,0.0727,2,4.66,0.44,0.46,-1.585,0.535988571,0
15.6653,0.1,2.02,5.3,0.54,0.54,-1.31,0.534394993,0
31.200751,0.172,1.24,2.07,0.67,0.67,-0.698,0.533431556,0
55.8226539,0.2663,2.5,6.8,0.82,0.87,-0.53,0.533016534,0
4.7234,0.036467,1.06,1.18,0.29,0.29,-2.056,0.532402616,0
160.018032,0.571,3.96,14.9,0.95,0.92,-0.119,0.532135964,0
157.072878,0.586,3.38,11.4,1.3,1.05,0.016,0.531673309,0
3.036179,0.0283,1.11,1.41,0.24,0.22,-2.248,0.529922183,0
161.5163345,0.503,2.94,8.96,0.66,0.7,-0.86,0.52971046,0
51.16579,0.2494,1.45,2.7,0.83,0.87,-0.404,0.528541756,0
56.35418576,0.2537,2.36,6.17,0.72,0.75,-0.539,0.528009755,0
9.54927542,0.0646,1.59,3.15,0.33,0.33,-1.577,0.526487868,0
18.596108,0.116,1.56,3.05,0.56,0.55,-1.131,0.526292446,0
